4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Wales,15
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Scotland,20
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Northern Ireland,0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Total United Kingdom,210
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,North East,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,North West,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,10
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,East Midlands,5
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,West Midlands,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,East of England,5
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,London,30
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,South East,10
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,South West,5
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,The Open University in England,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,England,65
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Wales,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Scotland,10
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Northern Ireland,0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Total United Kingdom,75
All,Bulgaria,Postgraduate (taught),All,2021/22,North East,10
All,Bulgaria,Postgraduate (taught),All,2021/22,North West,10
All,Bulgaria,Postgraduate (taught),All,2021/22,Yorkshire and The Humber,20
All,Bulgaria,Postgraduate (taught),All,2021/22,East Midlands,15
All,Bulgaria,Postgraduate (taught),All,2021/22,West Midlands,10
All,Bulgaria,Postgraduate (taught),All,2021/22,East of England,10
All,Bulgaria,Postgraduate (taught),All,2021/22,London,120
All,Bulgaria,Postgraduate (taught),All,2021/22,South East,30
All,Bulgaria,Postgraduate (taught),All,2021/22,South West,15
All,Bulgaria,Postgraduate (taught),All,2021/22,The Open University in England,0
All,Bulgaria,Postgraduate (taught),All,2021/22,England,235
All,Bulgaria,Postgraduate (taught),All,2021/22,Wales,15
All,Bulgaria,Postgraduate (taught),All,2021/22,Scotland,30
All,Bulgaria,Postgraduate (taught),All,2021/22,Northern Ireland,0
All,Bulgaria,Postgraduate (taught),All,2021/22,Total United Kingdom,285
All,Bulgaria,All postgraduate,Full-time,2021/22,North East,15
All,Bulgaria,All postgraduate,Full-time,2021/22,North West,20
All,Bulgaria,All postgraduate,Full-time,2021/22,Yorkshire and The Humber,15
All,Bulgaria,All postgraduate,Full-time,2021/22,East Midlands,20
All,Bulgaria,All postgraduate,Full-time,2021/22,West Midlands,15
All,Bulgaria,All postgraduate,Full-time,2021/22,East of England,15
All,Bulgaria,All postgraduate,Full-time,2021/22,London,115
All,Bulgaria,All postgraduate,Full-time,2021/22,South East,35
All,Bulgaria,All postgraduate,Full-time,2021/22,South West,20
All,Bulgaria,All postgraduate,Full-time,2021/22,The Open University in England,0
All,Bulgaria,All postgraduate,Full-time,2021/22,England,260
All,Bulgaria,All postgraduate,Full-time,2021/22,Wales,20
All,Bulgaria,All postgraduate,Full-time,2021/22,Scotland,35
All,Bulgaria,All postgraduate,Full-time,2021/22,Northern Ireland,5
All,Bulgaria,All postgraduate,Full-time,2021/22,Total United Kingdom,320
All,Bulgaria,All postgraduate,Part-time,2021/22,North East,5
All,Bulgaria,All postgraduate,Part-time,2021/22,North West,0
All,Bulgaria,All postgraduate,Part-time,2021/22,Yorkshire and The Humber,10
All,Bulgaria,All postgraduate,Part-time,2021/22,East Midlands,5
All,Bulgaria,All postgraduate,Part-time,2021/22,West Midlands,0
All,Bulgaria,All postgraduate,Part-time,2021/22,East of England,5
All,Bulgaria,All postgraduate,Part-time,2021/22,London,35
All,Bulgaria,All postgraduate,Part-time,2021/22,South East,10
All,Bulgaria,All postgraduate,Part-time,2021/22,South West,5
All,Bulgaria,All postgraduate,Part-time,2021/22,The Open University in England,0
All,Bulgaria,All postgraduate,Part-time,2021/22,England,75
All,Bulgaria,All postgraduate,Part-time,2021/22,Wales,0
All,Bulgaria,All postgraduate,Part-time,2021/22,Scotland,10
All,Bulgaria,All postgraduate,Part-time,2021/22,Northern Ireland,0
All,Bulgaria,All postgraduate,Part-time,2021/22,Total United Kingdom,90
All,Bulgaria,All postgraduate,All,2021/22,North East,15
All,Bulgaria,All postgraduate,All,2021/22,North West,20
All,Bulgaria,All postgraduate,All,2021/22,Yorkshire and The Humber,25
All,Bulgaria,All postgraduate,All,2021/22,East Midlands,20
All,Bulgaria,All postgraduate,All,2021/22,West Midlands,15
All,Bulgaria,All postgraduate,All,2021/22,East of England,20
All,Bulgaria,All postgraduate,All,2021/22,London,150
All,Bulgaria,All postgraduate,All,2021/22,South East,45
All,Bulgaria,All postgraduate,All,2021/22,South West,25
All,Bulgaria,All postgraduate,All,2021/22,The Open University in England,0
All,Bulgaria,All postgraduate,All,2021/22,England,335
All,Bulgaria,All postgraduate,All,2021/22,Wales,25
All,Bulgaria,All postgraduate,All,2021/22,Scotland,45
All,Bulgaria,All postgraduate,All,2021/22,Northern Ireland,5
All,Bulgaria,All postgraduate,All,2021/22,Total United Kingdom,405
All,Bulgaria,First degree,Full-time,2021/22,North East,60
All,Bulgaria,First degree,Full-time,2021/22,North West,300
All,Bulgaria,First degree,Full-time,2021/22,Yorkshire and The Humber,175
All,Bulgaria,First degree,Full-time,2021/22,East Midlands,145
All,Bulgaria,First degree,Full-time,2021/22,West Midlands,230
All,Bulgaria,First degree,Full-time,2021/22,East of England,240
All,Bulgaria,First degree,Full-time,2021/22,London,750
All,Bulgaria,First degree,Full-time,2021/22,South East,575
All,Bulgaria,First degree,Full-time,2021/22,South West,245
All,Bulgaria,First degree,Full-time,2021/22,The Open University in England,0
All,Bulgaria,First degree,Full-time,2021/22,England,2720
All,Bulgaria,First degree,Full-time,2021/22,Wales,120
All,Bulgaria,First degree,Full-time,2021/22,Scotland,610
All,Bulgaria,First degree,Full-time,2021/22,Northern Ireland,5
All,Bulgaria,First degree,Full-time,2021/22,Total United Kingdom,3450
All,Bulgaria,First degree,Part-time,2021/22,North East,0
All,Bulgaria,First degree,Part-time,2021/22,North West,5
All,Bulgaria,First degree,Part-time,2021/22,Yorkshire and The Humber,5
All,Bulgaria,First degree,Part-time,2021/22,East Midlands,0
All,Bulgaria,First degree,Part-time,2021/22,West Midlands,15
All,Bulgaria,First degree,Part-time,2021/22,East of England,10
All,Bulgaria,First degree,Part-time,2021/22,London,25
All,Bulgaria,First degree,Part-time,2021/22,South East,15
